skill_name,namespace,tier,lines,subdirs,moat_status,m1_evals,m1b_count,m2_fp,m2b_edge,m3_refs,m4_template,m4b_legacy,m5_evidence,structural_pass,gaps
0001-input-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0002-asis-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0003-flow-mapping,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0004-stakeholder-mapping,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0005-competitive-intelligence,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0006-scenario-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0007-risk-assessment,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0008-cost-estimation,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0009-technical-feasibility,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0010-dependency-analysis,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0011-assumption-log,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0012-user-story-writer,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0013-product-strategy,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0014-functional-spec,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0015-discovery-orchestrator,javier-montano,partial,68,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0016-analytics-events,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0017-asis-analysis,javier-montano,near-moat,250,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0018-b2b-outreach,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0019-benchmark-skill,javier-montano,partial,215,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0020-benchmarking-analysis,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0021-budget-management,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0022-business-process-modeling,javier-montano,near-moat,91,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0023-capacity-planning,javier-montano,near-moat,146,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0024-case-study-writing,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0025-change-management-enterprise,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0026-change-readiness,javier-montano,near-moat,96,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0027-client-browser-audit,javier-montano,near-moat,148,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0028-client-dossier,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0029-client-prospecting,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0030-cohort-analysis,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0031-commercial-model,javier-montano,near-moat,252,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0032-competitive-positioning,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0033-constitution-compliance,javier-montano,partial,73,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0034-contract-review,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0035-conversion-optimization,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0036-cost-estimation,javier-montano,near-moat,269,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0037-cv-enhancement,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0038-cv-transformer,javier-montano,partial,291,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0039-data-visualization,javier-montano,near-moat,102,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0040-dependency-analysis,javier-montano,near-moat,191,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0041-dependency-management,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0042-discovery-handover,javier-montano,near-moat,338,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0043-discovery-orchestration,javier-montano,near-moat,102,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0044-discovery-orchestrator,javier-montano,near-moat,283,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0045-discovery-retrospective,javier-montano,near-moat,144,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0046-dynamic-sme,javier-montano,near-moat,198,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0047-executive-pitch,javier-montano,near-moat,194,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0048-feasibility-validation,javier-montano,near-moat,95,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0049-finops,javier-montano,partial,408,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0050-flow-mapping,javier-montano,near-moat,255,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0051-functional-spec,javier-montano,near-moat,181,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0052-functional-toolbelt,javier-montano,near-moat,277,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0053-funnel-analytics,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0054-governance-framework,javier-montano,near-moat,134,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0055-incident-response,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0056-input-analysis,javier-montano,near-moat,138,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0057-input-analyst,javier-montano,partial,187,3,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0058-input-sanitization,javier-montano,near-moat,126,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0059-input-tolerance,javier-montano,partial,73,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0060-integrity-chain-validation,javier-montano,near-moat,118,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0061-kpi-framework,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0062-lead-generation,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0063-market-intelligence,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0064-maturity-assessment,javier-montano,near-moat,196,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0065-okr-design,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0066-partnership-strategy,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0067-performance-architecture,javier-montano,near-moat,95,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0068-poc-lab,javier-montano,near-moat,300,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0069-pricing-strategy,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0070-product-roadmapping,javier-montano,near-moat,91,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0071-project-program-management,javier-montano,near-moat,366,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0072-proposal-writing,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0073-reporting-templates,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0074-requirements-engineering,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0075-retrospective-facilitation,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0076-risk-assessment,javier-montano,near-moat,92,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0077-risk-controlling-dynamics,javier-montano,near-moat,412,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0078-sales-collateral,javier-montano,near-moat,85,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0079-scenario-analysis,javier-montano,near-moat,216,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0080-sla-definition,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0081-software-viability,javier-montano,near-moat,261,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0082-stakeholder-mapping,javier-montano,near-moat,228,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0083-survey-design,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0084-technical-feasibility,javier-montano,near-moat,248,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0085-testing-strategy,javier-montano,near-moat,332,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0086-trade-off-analysis,javier-montano,near-moat,97,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0087-user-representative,javier-montano,near-moat,212,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0088-user-research,javier-montano,near-moat,91,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0089-user-testing,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0090-ux-writing,javier-montano,near-moat,265,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
0091-vendor-evaluation,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1001-system-design,javier-montano,partial,48,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1002-architecture-tobe,javier-montano,partial,49,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1003-component-designer,javier-montano,partial,48,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1004-responsive-design-system,javier-montano,partial,49,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1005-state-management-design,javier-montano,partial,48,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1006-data-flow-architecture,javier-montano,partial,49,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1007-integration-architecture,javier-montano,partial,49,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1008-api-designer,javier-montano,partial,65,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1009-database-architecture,javier-montano,partial,48,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1010-firebase-architecture,javier-montano,partial,75,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1011-auth-architecture,javier-montano,partial,48,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1012-pwa-architecture,javier-montano,partial,49,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1013-ai-architecture-audit,javier-montano,partial,379,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1014-ai-architecture-implementation,javier-montano,partial,366,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1015-ai-conops,javier-montano,partial,326,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1016-ai-design-patterns,javier-montano,partial,338,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1017-ai-pipeline-architecture,javier-montano,partial,295,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1018-ai-software-architecture,javier-montano,partial,316,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1019-api-architecture,javier-montano,near-moat,305,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1020-api-design,javier-montano,near-moat,94,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1021-architecture-tobe,javier-montano,near-moat,343,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1022-aws-architecture-audit,javier-montano,partial,391,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1023-aws-architecture-design,javier-montano,partial,411,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1024-aws-architecture-implementation,javier-montano,partial,451,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1025-bi-architecture,javier-montano,near-moat,317,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1026-chatbot-design,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1027-cloud-functions,javier-montano,near-moat,94,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1028-cloud-migration,javier-montano,near-moat,386,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1029-cloud-native-architecture,javier-montano,near-moat,353,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1030-component-architecture,javier-montano,near-moat,94,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1031-data-science-architecture,javier-montano,near-moat,325,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1032-database-architecture,javier-montano,near-moat,333,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1033-design-critique,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1034-design-system,javier-montano,near-moat,335,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1035-devsecops-architecture,javier-montano,near-moat,311,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1036-domain-driven-design,javier-montano,near-moat,92,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1037-enterprise-architecture,javier-montano,near-moat,318,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1038-event-architecture,javier-montano,near-moat,336,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1039-genai-architecture,javier-montano,partial,368,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1040-infrastructure-architecture,javier-montano,near-moat,283,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1041-infrastructure-design,javier-montano,near-moat,95,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1042-micro-interactions,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1043-microcopy-writing,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1044-migration-planning,javier-montano,near-moat,97,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1045-mobile-architecture,javier-montano,near-moat,346,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1046-mobile-assessment,javier-montano,near-moat,394,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1047-mobile-patterns,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1048-observability,javier-montano,near-moat,355,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1049-realtime-architecture,javier-montano,near-moat,98,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1050-roadmap-poc,javier-montano,near-moat,265,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1051-schema-evolution,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1052-software-architecture,javier-montano,near-moat,282,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1053-solution-roadmap,javier-montano,near-moat,216,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1054-solutions-architecture,javier-montano,near-moat,295,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1055-state-management,javier-montano,near-moat,94,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1056-system-architecture,javier-montano,near-moat,93,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1057-team-topology,javier-montano,near-moat,178,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1058-voice-interface,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1059-workshop-facilitator,javier-montano,near-moat,222,4,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
1060-workshop-proposal,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2001-scaffold-html-css,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2002-html-semantic-builder,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2003-css-architecture,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2004-javascript-patterns,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2005-scaffold-react-app,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2006-react-component-library,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2007-scaffold-angular-app,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2008-angular-module-builder,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2009-form-builder,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2010-ui-kit-builder,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2011-animation-motion,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2012-spa-routing,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2013-data-visualization,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2014-landing-page-builder,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2015-email-template-builder,javier-montano,partial,69,1,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2016-accessibility-design,javier-montano,near-moat,94,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2017-accessibility-writing,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2018-admin-dashboards,javier-montano,near-moat,92,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2019-angular-development,javier-montano,near-moat,96,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2020-animation-principles,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2021-blog-cms,javier-montano,near-moat,92,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2022-brand-docx,javier-montano,partial,289,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2023-brand-html,javier-montano,partial,178,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2024-brand-voice,javier-montano,partial,197,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2025-brand-xlsx,javier-montano,partial,279,2,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2026-branded-html-output,javier-montano,near-moat,90,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2027-color-theory,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2028-css-animation,javier-montano,near-moat,98,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2029-dark-mode,javier-montano,near-moat,93,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2030-dashboard-design,javier-montano,near-moat,53,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2031-ecommerce-frontend,javier-montano,near-moat,92,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
2032-email-templates,javier-montano,near-moat,92,5,MOAT,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,none
